timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1662897396850,103,HTTPS Request ya.ru,200,Ok,jp@gc - Ultimate Thread Group ya.ru 1-3,text,true,,11101,591,5,10,https://ya.ru/showcaptcha?cc=1&mt=71E46B9B1C63FEFB2FA96AD03AB5E38C92C15514866607994D39D93EB00212C3&retpath=aHR0cHM6Ly95YS5ydS8__be4b26318182eedc1bcad7a3896dfc9d&t=2/1662897396/323265cd081d44d546cfe60dbe7afefe&u=842ac3b0-3689c3fb-661a902c-da9017c5&s=dc901fa5849bb9ca0daba0541d7a6eee,49,0,16
1662897396850,49,HTTPS Request ya.ru-0,301,Moved permanently,jp@gc - Ultimate Thread Group ya.ru 1-3,,true,,1016,108,5,10,http://ya.ru/,49,0,16
1662897396899,39,HTTPS Request ya.ru-1,302,Moved temporarily,jp@gc - Ultimate Thread Group ya.ru 1-3,,true,,1186,108,5,10,https://ya.ru/,39,0,26
1662897396938,15,HTTPS Request ya.ru-2,200,Ok,jp@gc - Ultimate Thread Group ya.ru 1-3,text,true,,8899,375,5,10,https://ya.ru/showcaptcha?cc=1&mt=71E46B9B1C63FEFB2FA96AD03AB5E38C92C15514866607994D39D93EB00212C3&retpath=aHR0cHM6Ly95YS5ydS8__be4b26318182eedc1bcad7a3896dfc9d&t=2/1662897396/323265cd081d44d546cfe60dbe7afefe&u=842ac3b0-3689c3fb-661a902c-da9017c5&s=dc901fa5849bb9ca0daba0541d7a6eee,15,0,0
1662897399359,43,HTTPS Request www.ru,200,OK,jp@gc - Ultimate Thread Group www.ru 2-3,text,true,,16998,109,5,10,http://www.ru/,34,0,10
1662897399358,44,HTTPS Request www.ru,200,OK,jp@gc - Ultimate Thread Group www.ru 2-2,text,true,,16998,109,5,10,http://www.ru/,37,0,10
1662897399360,44,HTTPS Request www.ru,200,OK,jp@gc - Ultimate Thread Group www.ru 2-5,text,true,,16998,109,5,10,http://www.ru/,37,0,9
1662897399358,46,HTTPS Request www.ru,200,OK,jp@gc - Ultimate Thread Group www.ru 2-4,text,true,,16998,109,5,10,http://www.ru/,39,0,10
1662897399359,46,HTTPS Request www.ru,200,OK,jp@gc - Ultimate Thread Group www.ru 2-1,text,true,,16998,109,5,10,http://www.ru/,41,0,9
1662897401859,36,HTTPS Request www.ru,200,OK,jp@gc - Ultimate Thread Group www.ru 2-4,text,true,,16997,109,5,10,http://www.ru/,31,0,10
1662897401860,36,HTTPS Request www.ru,200,OK,jp@gc - Ultimate Thread Group www.ru 2-2,text,true,,16998,109,5,10,http://www.ru/,30,0,10
1662897401861,36,HTTPS Request www.ru,200,OK,jp@gc - Ultimate Thread Group www.ru 2-3,text,true,,16998,109,5,10,http://www.ru/,29,0,10
1662897401860,37,HTTPS Request www.ru,200,OK,jp@gc - Ultimate Thread Group www.ru 2-5,text,true,,16998,109,5,10,http://www.ru/,30,0,10
1662897401861,38,HTTPS Request www.ru,200,OK,jp@gc - Ultimate Thread Group www.ru 2-1,text,true,,16998,109,5,10,http://www.ru/,33,0,9
1662897401852,94,HTTPS Request ya.ru,200,Ok,jp@gc - Ultimate Thread Group ya.ru 1-5,text,true,,11097,591,5,10,https://ya.ru/showcaptcha?cc=1&mt=81410C17C1F709643888690C65BA9D85FD5A75F5B6F51E029CAE5F38EBFFAF76&retpath=aHR0cHM6Ly95YS5ydS8__be4b26318182eedc1bcad7a3896dfc9d&t=2/1662897401/8c2c3cb8405c05961f633ac0d7eba16b&u=5d0d3866-9d3c6b70-cd66a615-3436f628&s=452240b6f2802c31623f4a56444b51ff,38,0,12
1662897401852,38,HTTPS Request ya.ru-0,301,Moved permanently,jp@gc - Ultimate Thread Group ya.ru 1-5,,true,,1013,108,5,10,http://ya.ru/,38,0,12
1662897401891,44,HTTPS Request ya.ru-1,302,Moved temporarily,jp@gc - Ultimate Thread Group ya.ru 1-5,,true,,1186,108,5,10,https://ya.ru/,44,0,33
1662897401935,11,HTTPS Request ya.ru-2,200,Ok,jp@gc - Ultimate Thread Group ya.ru 1-5,text,true,,8898,375,5,10,https://ya.ru/showcaptcha?cc=1&mt=81410C17C1F709643888690C65BA9D85FD5A75F5B6F51E029CAE5F38EBFFAF76&retpath=aHR0cHM6Ly95YS5ydS8__be4b26318182eedc1bcad7a3896dfc9d&t=2/1662897401/8c2c3cb8405c05961f633ac0d7eba16b&u=5d0d3866-9d3c6b70-cd66a615-3436f628&s=452240b6f2802c31623f4a56444b51ff,11,0,0
1662897401851,95,HTTPS Request ya.ru,200,Ok,jp@gc - Ultimate Thread Group ya.ru 1-4,text,true,,11104,591,5,10,https://ya.ru/showcaptcha?cc=1&mt=11AB701987AF0C384BCF2153455A8F21DBBD995C3F76468D387FF72C45FFE0CB&retpath=aHR0cHM6Ly95YS5ydS8__be4b26318182eedc1bcad7a3896dfc9d&t=2/1662897401/fc24b7466cd87412149384066751423d&u=805cd6b3-529eb541-3d2bad62-99cb6a25&s=221bd78b31fdfe80c56cc331aeb70f6d,44,0,16
1662897401851,44,HTTPS Request ya.ru-0,301,Moved permanently,jp@gc - Ultimate Thread Group ya.ru 1-4,,true,,1017,108,5,10,http://ya.ru/,44,0,16
1662897401895,40,HTTPS Request ya.ru-1,302,Moved temporarily,jp@gc - Ultimate Thread Group ya.ru 1-4,,true,,1186,108,5,10,https://ya.ru/,40,0,32
1662897401935,11,HTTPS Request ya.ru-2,200,Ok,jp@gc - Ultimate Thread Group ya.ru 1-4,text,true,,8901,375,5,10,https://ya.ru/showcaptcha?cc=1&mt=11AB701987AF0C384BCF2153455A8F21DBBD995C3F76468D387FF72C45FFE0CB&retpath=aHR0cHM6Ly95YS5ydS8__be4b26318182eedc1bcad7a3896dfc9d&t=2/1662897401/fc24b7466cd87412149384066751423d&u=805cd6b3-529eb541-3d2bad62-99cb6a25&s=221bd78b31fdfe80c56cc331aeb70f6d,11,0,0
